0.0,1.22648831433592,-194.4598223049962,-195.68631061933212
0.5,1.2142691319514132,-194.4595491626576,-195.67381829460902
1.0,1.200470897733435,-194.45912064115038,-195.6595915388838
1.5,1.1912748825742314,-194.45880415081294,-195.65007903338716
2.0,1.1912593870979635,-194.45879722487916,-195.65005661197713
2.5,1.200747196159079,-194.45907927079864,-195.65982646695772
3.0,1.2159152205999182,-194.45947133301178,-195.6753865536117
3.5,1.2310457653826086,-194.45980306586213,-195.69084883124475
4.0,1.241236130078127,-194.4599565515933,-195.70119268167144
4.5,1.244118766801905,-194.459947117519,-195.7040658843209
5.0,1.2400488494134456,-194.45982461673847,-195.69987346615193
5.5,1.2312039853544174,-194.45965037482384,-195.69085436017826
6.0,1.2209007111670123,-194.4593940237759,-195.68029473494292
6.5,1.213245105219571,-194.45915068970132,-195.6723957949209
7.0,1.21180315650696,-194.4590789374408,-195.67088209394777
